ROI_id,ROI_parent,ROI_name,ROI_accronym,Structure_order,ROI_Volume_mm_3,cell_counted,cell_density
997,0,root,root,0,408.77732,8700305,21283.7272870227
8,997,Basic cell groups and regions,grey,1,370.504688,7378163,19913.8182024839
567,8,Cerebrum,CH,2,232.29332,2885834,12423.232833385
688,567,Cerebral cortex,CTX,3,193.544736,1989774,10280.6929349915
695,688,Cortical plate,CTXpl,4,186.320464,1902671,10211.8197816425
315,695,Isocortex,Isocortex,5,112.98188,1134152,10038.3530527196
184,315,Frontal pole cerebral cortex,FRP,6,1.051728,5565,5291.29204509151
68,184,Frontal pole layer 1,FRP1,7,0.314784,470,1493.08732337095
667,184,Frontal pole layer 2/3,FRP2/3,8,0.26988,73,270.490588409664
20040,184,Frontal pole layer 5,FRP5,9,0.376296,2700,7175.20250015945
20039,184,Frontal pole layer 6a,FRP6a,10,0.090768,2322,25581.7028027499
20038,184,Frontal pole layer 6b,FRP6b,11,0,0,NaN
500,315,Somatomotor areas,MO,12,23.029792,248868,10806.3503135417
107,500,Somatomotor areas Layer 1,MO1,13,0,0,NaN
219,500,Somatomotor areas Layer 2/3,MO2/3,14,0,0,NaN
299,500,Somatomotor areas Layer 5,MO5,15,0,0,NaN
644,500,Somatomotor areas Layer 6a,MO6a,16,0,0,NaN
947,500,Somatomotor areas Layer 6b,MO6b,17,0,0,NaN
985,500,Primary motor area,MOp,18,11.056104,134175,12135.8301260553
320,985,Primary motor area Layer 1,MOp1,19,1.848768,1028,556.045972236646
943,985,Primary motor area Layer 2/3,MOp2/3,20,2.888848,14432,4995.76301695347
648,985,Primary motor area Layer 5,MOp5,21,2.665144,25703,9644.13179925737
844,985,Primary motor area Layer 6a,MOp6a,22,3.608704,91312,25303.2667683468
882,985,Primary motor area Layer 6b,MOp6b,23,0.04464,1700,38082.4372759857
993,500,Secondary motor area,MOs,24,11.973688,114693,9578.75301243861
656,993,Secondary motor area layer 1,MOs1,25,3.0154,1197,396.962260396631
962,993,Secondary motor area layer 2/3,MOs2/3,26,3.041,7720,2538.6386057218
767,993,Secondary motor area layer 5,MOs5,27,3.677632,36118,9820.99350886658
1021,993,Secondary motor area layer 6a,MOs6a,28,2.239608,69658,31102.7644123436
1085,993,Secondary motor area layer 6b,MOs6b,29,4.8e-05,0,0
453,315,Somatosensory areas,SS,30,27.279304,369845,13557.7139358101
12993,453,Somatosensory areas layer 1,SS1,31,0,0,NaN
12994,453,Somatosensory areas layer 2/3,SS2/3,32,0,0,NaN
12995,453,Somatosensory areas layer 4,SS4,33,0,0,NaN
12996,453,Somatosensory areas layer 5,SS5,34,0,0,NaN
12997,453,Somatosensory areas layer 6a,SS6a,35,0,0,NaN
12998,453,Somatosensory areas layer 6b,SS6b,36,0,0,NaN
322,453,Primary somatosensory area,SSp,37,19.975648,295617,14798.8691030198
793,322,Primary somatosensory area layer 1,SSp1,38,0,0,NaN
346,322,Primary somatosensory area layer 2/3,SSp2/3,39,0,0,NaN
865,322,Primary somatosensory area layer 4,SSp4,40,0,0,NaN
921,322,Primary somatosensory area layer 5,SSp5,41,0,0,NaN
686,322,Primary somatosensory area layer 6a,SSp6a,42,0,0,NaN
719,322,Primary somatosensory area layer 6b,SSp6b,43,0,0,NaN
353,322,Primary somatosensory area nose,SSp-n,44,2.364072,36513,15444.9610671756
558,353,Primary somatosensory area nose layer 1,SSp-n1,45,0.647384,527,814.045450613546
838,353,Primary somatosensory area nose layer 2/3,SSp-n2/3,46,0.399352,2847,7129.04905947635
654,353,Primary somatosensory area nose layer 4,SSp-n4,47,0.113208,1406,12419.6169881987
702,353,Primary somatosensory area nose layer 5,SSp-n5,48,0.12964,2134,16460.9688367788
889,353,Primary somatosensory area nose layer 6a,SSp-n6a,49,1.0584,28654,27072.940287226
929,353,Primary somatosensory area nose layer 6b,SSp-n6b,50,0.016088,945,58739.4331178518
329,322,Primary somatosensory area barrel field,SSp-bfd,51,4.884888,66355,13583.7300670967
981,329,Primary somatosensory area barrel field layer 1,SSp-bfd1,52,1.083088,591,545.662033001935
201,329,Primary somatosensory area barrel field layer 2/3,SSp-bfd2/3,53,1.043536,5808,5565.69203170758
1047,329,Primary somatosensory area barrel field layer 4,SSp-bfd4,54,0.44072,5037,11429.0252314395
1070,329,Primary somatosensory area barrel field layer 5,SSp-bfd5,55,0.394208,5587,14172.7210000812
1038,329,Primary somatosensory area barrel field layer 6a,SSp-bfd6a,56,1.834616,44716,24373.4928726229
1062,329,Primary somatosensory area barrel field layer 6b,SSp-bfd6b,57,0.08872,4616,52028.8548241659
20093,329,Rostrolateral lateral visual area,VISrll,58,0,0,NaN
20092,20093,Rostrolateral lateral visual area layer 1,VISrll1,59,0,0,NaN
20091,20093,Rostrolateral lateral visual area layer 2/3,VISrll2/3,60,0,0,NaN
20090,20093,Rostrolateral lateral visual area layer 4,VISrll4,61,0,0,NaN
20089,20093,Rostrolateral lateral visual arealayer 5,VISrll5,62,0,0,NaN
20088,20093,Rostrolateral lateral visual area layer 6a,VISrll6a,63,0,0,NaN
20087,20093,Rostrolateral lateral visual area layer 6b,VISrll6b,64,0,0,NaN
337,322,Primary somatosensory area lower limb,SSp-ll,65,1.750792,30808,17596.6077066836
1030,337,Primary somatosensory area lower limb layer 1,SSp-ll1,66,0.331208,254,766.889688654863
113,337,Primary somatosensory area lower limb layer 2/3,SSp-ll2/3,67,0.370776,1552,4185.81569465122
1094,337,Primary somatosensory area lower limb layer 4,SSp-ll4,68,0.126912,1388,10936.7120524458
1128,337,Primary somatosensory area lower limb layer 5,SSp-ll5,69,0.334616,4914,14685.4902335812
478,337,Primary somatosensory area lower limb layer 6a,SSp-ll6a,70,0.586536,22646,38609.7358047929
510,337,Primary somatosensory area lower limb layer 6b,SSp-ll6b,71,0.000744,54,72580.6451612903
345,322,Primary somatosensory area mouth,SSp-m,72,5.482728,80588,14698.522341433
878,345,Primary somatosensory area mouth layer 1,SSp-m1,73,1.21456,802,660.321433276248
657,345,Primary somatosensory area mouth layer 2/3,SSp-m2/3,74,1.172856,7904,6739.10522689913
950,345,Primary somatosensory area mouth layer 4,SSp-m4,75,0.371368,5482,14761.6380517438
974,345,Primary somatosensory area mouth layer 5,SSp-m5,76,0.63524,11083,17446.9491845602
1102,345,Primary somatosensory area mouth layer 6a,SSp-m6a,77,1.997272,50318,25193.3637481525
2,345,Primary somatosensory area mouth layer 6b,SSp-m6b,78,0.091432,4999,54674.5122057923
369,322,Primary somatosensory area upper limb,SSp-ul,79,3.223576,49414,15328.9390416109
450,369,Primary somatosensory area upper limb layer 1,SSp-ul1,80,0.594224,334,562.077600366192
854,369,Primary somatosensory area upper limb layer 2/3,SSp-ul2/3,81,0.766664,4326,5642.62832218547
577,369,Primary somatosensory area upper limb layer 4,SSp-ul4,82,0.230408,2982,12942.258949342
625,369,Primary somatosensory area upper limb layer 5,SSp-ul5,83,0.305928,4681,15300.9858528804
945,369,Primary somatosensory area upper limb layer 6a,SSp-ul6a,84,1.326208,37075,27955.6449667021
1026,369,Primary somatosensory area upper limb layer 6b,SSp-ul6b,85,0.000144,16,111111.111111111
361,322,Primary somatosensory area trunk,SSp-tr,86,1.249896,17424,13940.3598379385
1006,361,Primary somatosensory area trunk layer 1,SSp-tr1,87,0.251352,108,429.676310512747
670,361,Primary somatosensory area trunk layer 2/3,SSp-tr2/3,88,0.295048,890,3016.45833898213
1086,361,Primary somatosensory area trunk layer 4,SSp-tr4,89,0.108176,905,8365.99615441503
1111,361,Primary somatosensory area trunk layer 5,SSp-tr5,90,0.284976,3423,12011.5378137106
9,361,Primary somatosensory area trunk layer 6a,SSp-tr6a,91,0.301688,11537,38241.4945241441
461,361,Primary somatosensory area trunk layer 6b,SSp-tr6b,92,0.008656,561,64810.5360443623
20128,322,Primary somatosensory area unassigned,SSp-un,93,1.019696,14515,14234.6346362053
20127,20128,Primary somatosensory area unassigned layer 1,SSp-un1,94,0.2304,80,347.222222222222
20126,20128,Primary somatosensory area unassigned layer 2/3,SSp-un2/3,95,0.232752,1605,6895.75170138173
20125,20128,Primary somatosensory area unassigned layer 4,SSp-un4,96,0.059776,737,12329.3629550321
20124,20128,Primary somatosensory area unassigned layer 5,SSp-un5,97,0.063768,882,13831.3887843432
20123,20128,Primary somatosensory area unassigned layer 6a,SSp-un6a,98,0.4306,10989,25520.2043660009
20122,20128,Primary somatosensory area unassigned layer 6b,SSp-un6b,99,0.0024,222,92500
378,453,Supplemental somatosensory area,SSs,100,7.303656,74228,10163.1292601952
873,378,Supplemental somatosensory area layer 1,SSs1,101,1.383656,164,118.526570187966
806,378,Supplemental somatosensory area layer 2/3,SSs2/3,102,1.548648,4462,2881.22284728357
1035,378,Supplemental somatosensory area layer 4,SSs4,103,0.453736,3123,6882.85699173088
1090,378,Supplemental somatosensory area layer 5,SSs5,104,1.153264,11672,10120.8396342902
862,378,Supplemental somatosensory area layer 6a,SSs6a,105,2.487544,45765,18397.664523723
893,378,Supplemental somatosensory area layer 6b,SSs6b,106,0.276808,9042,32665.2408889916
1057,315,Gustatory areas,GU,107,1.818728,13360,7345.79332368557
36,1057,Gustatory areas layer 1,GU1,108,0.212048,1,4.71591337810307
180,1057,Gustatory areas layer 2/3,GU2/3,109,0.39268,287,730.875012733014
148,1057,Gustatory areas layer 4,GU4,110,0.164728,555,3369.19042300034
187,1057,Gustatory areas layer 5,GU5,111,0.664,4485,6754.51807228916
638,1057,Gustatory areas layer 6a,GU6a,112,0.36056,7181,19916.2414022631
662,1057,Gustatory areas layer 6b,GU6b,113,0.024712,851,34436.7109096795
677,315,Visceral area,VISC,114,1.74884,14235,8139.68116008326
897,677,Visceral area layer 1,VISC1,115,0.249512,0,0
1106,677,Visceral area layer 2/3,VISC2/3,116,0.236024,59,249.974578856387
1010,677,Visceral area layer 4,VISC4,117,0.083856,140,1669.52871589391
1058,677,Visceral area layer 5,VISC5,118,0.517848,2142,4136.34889002178
857,677,Visceral area layer 6a,VISC6a,119,0.621768,10513,16908.2358693275
849,677,Visceral area layer 6b,VISC6b,120,0.039832,1381,34670.6165896766
247,315,Auditory areas,AUD,121,5.11544,37071,7246.88394351219
1011,247,Dorsal auditory area,AUDd,122,1.3736,9423,6860.0757134537
527,1011,Dorsal auditory area layer 1,AUDd1,123,0.255176,6,23.5131830579678
600,1011,Dorsal auditory area layer 2/3,AUDd2/3,124,0.273056,431,1578.43079807805
678,1011,Dorsal auditory area layer 4,AUDd4,125,0.101856,575,5645.2246308514
252,1011,Dorsal auditory area layer 5,AUDd5,126,0.277616,1978,7124.94957062994
156,1011,Dorsal auditory area layer 6a,AUDd6a,127,0.37976,4331,11404.5713081947
243,1011,Dorsal auditory area layer 6b,AUDd6b,128,0.086136,2102,24403.2692486301
20086,1011,Laterolateral anterior visual area,VISlla,129,0,0,NaN
20085,20086,Laterolateral anterior visual area layer 1,VISlla1,130,0,0,NaN
20084,20086,Laterolateral anterior visual area layer 2/3,VISlla2/3,131,0,0,NaN
20083,20086,Laterolateral anterior visual area layer 4,VISlla4,132,0,0,NaN
20082,20086,Laterolateral anterior visual arealayer 5,VISlla5,133,0,0,NaN
20081,20086,Laterolateral anterior visual area layer 6a,VISlla6a,134,0,0,NaN
20080,20086,Laterolateral anterior visual area layer 6b,VISlla6b,135,0,0,NaN
1002,247,Primary auditory area,AUDp,136,1.705832,15597,9143.33885165714
735,1002,Primary auditory area layer 1,AUDp1,137,0.357792,10,27.9491995349253
251,1002,Primary auditory area layer 2/3,AUDp2/3,138,0.278176,472,1696.7675140918
816,1002,Primary auditory area layer 4,AUDp4,139,0.103176,584,5660.23106148717
847,1002,Primary auditory area layer 5,AUDp5,140,0.450376,4228,9387.71160097341
954,1002,Primary auditory area layer 6a,AUDp6a,141,0.43364,7164,16520.6161793193
1005,1002,Primary auditory area layer 6b,AUDp6b,142,0.082672,3139,37969.3245597058
1027,247,Posterior auditory area,AUDpo,143,0.539152,3786,7022.13846929994
696,1027,Posterior auditory area layer 1,AUDpo1,144,0.10068,0,0
643,1027,Posterior auditory area layer 2/3,AUDpo2/3,145,0.070632,47,665.420772454412
759,1027,Posterior auditory area layer 4,AUDpo4,146,0.038584,112,2902.75761973875
791,1027,Posterior auditory area layer 5,AUDpo5,147,0.15536,938,6037.59011328527
249,1027,Posterior auditory area layer 6a,AUDpo6a,148,0.13204,1435,10867.9188124811
456,1027,Posterior auditory area layer 6b,AUDpo6b,149,0.041856,1254,29959.8623853211
1018,247,Ventral auditory area,AUDv,150,1.496856,8265,5521.5732174638
959,1018,Ventral auditory area layer 1,AUDv1,151,0.242272,4,16.5103685114252
755,1018,Ventral auditory area layer 2/3,AUDv2/3,152,0.22364,39,174.387408334824
990,1018,Ventral auditory area layer 4,AUDv4,153,0.114432,167,1459.38199105145
1023,1018,Ventral auditory area layer 5,AUDv5,154,0.484224,2392,4939.86254295533
520,1018,Ventral auditory area layer 6a,AUDv6a,155,0.35404,3878,10953.5645689753
598,1018,Ventral auditory area layer 6b,AUDv6b,156,0.078248,1785,22812.0846539209
669,315,Visual areas,VIS,157,12.413216,79115,6373.44907234354
801,669,Visual areas layer 1,VIS1,158,0,0,NaN
561,669,Visual areas layer 2/3,VIS2/3,159,0,0,NaN
913,669,Visual areas layer 4,VIS4,160,0,0,NaN
937,669,Visual areas layer 5,VIS5,161,0,0,NaN
457,669,Visual areas layer 6a,VIS6a,162,0,0,NaN
497,669,Visual areas layer 6b,VIS6b,163,0,0,NaN
402,669,Anterolateral visual area,VISal,164,0.831224,7831,9421.04655303504
1074,402,Anterolateral visual area layer 1,VISal1,165,0.102152,4,39.1573341686898
905,402,Anterolateral visual area layer 2/3,VISal2/3,166,0.118368,54,456.204379562044
1114,402,Anterolateral visual area layer 4,VISal4,167,0.079824,145,1816.49629184205
233,402,Anterolateral visual area layer 5,VISal5,168,0.268384,1691,6300.67366161917
601,402,Anterolateral visual area layer 6a,VISal6a,169,0.22484,3900,17345.6680305995
649,402,Anterolateral visual area layer 6b,VISal6b,170,0.037656,2037,54094.9649458254
394,669,Anteromedial visual area,VISam,171,0.79984,5900,7376.47529505901
281,394,Anteromedial visual area layer 1,VISam1,172,0.230544,71,307.967242695537
1066,394,Anteromedial visual area layer 2/3,VISam2/3,173,0.117864,66,559.967420077377
401,394,Anteromedial visual area layer 4,VISam4,174,0.034912,58,1661.31989000917
433,394,Anteromedial visual area layer 5,VISam5,175,0.233656,1076,4605.06043071866
1046,394,Anteromedial visual area layer 6a,VISam6a,176,0.172832,4029,23311.655249028
441,394,Anteromedial visual area layer 6b,VISam6b,177,0.010032,600,59808.6124401914
409,669,Lateral visual area,VISl,178,1.052504,8069,7666.47917727629
421,409,Lateral visual area layer 1,VISl1,179,0.161456,4,24.7745515806164
973,409,Lateral visual area layer 2/3,VISl2/3,180,0.154408,34,220.195844774882
573,409,Lateral visual area layer 4,VISl4,181,0.108928,219,2010.50235017626
613,409,Lateral visual area layer 5,VISl5,182,0.356552,2770,7768.85279005587
74,409,Lateral visual area layer 6a,VISl6a,183,0.237104,3832,16161.6843241784
121,409,Lateral visual area layer 6b,VISl6b,184,0.034056,1210,35529.7157622739
385,669,Primary visual area,VISp,185,5.967808,39983,6699.77988567997
593,385,Primary visual area layer 1,VISp1,186,1.132552,573,505.937034237722
821,385,Primary visual area layer 2/3,VISp2/3,187,1.278312,1096,857.380670759564
721,385,Primary visual area layer 4,VISp4,188,0.717104,2655,3702.39184274526
778,385,Primary visual area layer 5,VISp5,189,1.388,11389,8205.33141210375
33,385,Primary visual area layer 6a,VISp6a,190,1.353216,20942,15475.7259742717
305,385,Primary visual area layer 6b,VISp6b,191,0.098624,3328,33744.3218689163
425,669,Posterolateral visual area,VISpl,192,1.124632,4950,4401.43975985033
750,425,Posterolateral visual area layer 1,VISpl1,193,0.26424,132,499.545867393279
269,425,Posterolateral visual area layer 2/3,VISpl2/3,194,0.213872,325,1519.60050871549
869,425,Posterolateral visual area layer 4,VISpl4,195,0.019968,19,951.522435897436
902,425,Posterolateral visual area layer 5,VISpl5,196,0.395984,1802,4550.68891672391
377,425,Posterolateral visual area layer 6a,VISpl6a,197,0.215488,2390,11091.1048411048
393,425,Posterolateral visual area layer 6b,VISpl6b,198,0.01508,282,18700.2652519894
533,669,posteromedial visual area,VISpm,199,0.856168,4313,5037.56272133506
805,533,posteromedial visual area layer 1,VISpm1,200,0.252104,75,297.496271380065
41,533,posteromedial visual area layer 2/3,VISpm2/3,201,0.158616,89,561.103545670046
501,533,posteromedial visual area layer 4,VISpm4,202,0.044616,99,2218.9349112426
565,533,posteromedial visual area layer 5,VISpm5,203,0.211232,1010,4781.47250416604
257,533,posteromedial visual area layer 6a,VISpm6a,204,0.171704,2338,13616.4562269953
469,533,posteromedial visual area layer 6b,VISpm6b,205,0.017896,702,39226.6428252123
20113,669,Laterointermediate area,VISli,206,0.50292,3000,5965.16344547841
20112,20113,Laterointermediate area layer 1,VISli1,207,0.070992,1,14.0860942077981
20111,20113,Laterointermediate area layer 2/3,VISli2/3,208,0.056872,7,123.083415388944
20110,20113,Laterointermediate area layer 4,VISli4,209,0.031984,7,218.859429714857
20109,20113,Laterointermediate area layer 5,VISli5,210,0.209832,625,2978.57333485836
20108,20113,Laterointermediate area layer 6a,VISli6a,211,0.112208,1518,13528.4471695423
20107,20113,Laterointermediate area layer 6b,VISli6b,212,0.021032,842,40034.2335488779
20100,669,Postrhinal area,VISpor,213,1.27812,5069,3965.98128501236
20099,20100,Postrhinal area layer 1,VISpor1,214,0.293688,10,34.0497398599875
20098,20100,Postrhinal area layer 2/3,VISpor2/3,215,0.265656,66,248.441593639895
20097,20100,Postrhinal area layer 4,VISpor4,216,0.027176,1,36.7971739770386
20096,20100,Postrhinal area layer 5,VISpor5,217,0.415248,706,1700.1888028359
20095,20100,Postrhinal area layer 6a,VISpor6a,218,0.23204,2538,10937.7693501121
20094,20100,Postrhinal area layer 6b,VISpor6b,219,0.044312,1748,39447.553710056
31,315,Anterior cingulate area,ACA,220,5.468208,61091,11172.0329585122
572,31,Anterior cingulate area layer 1,ACA1,221,0,0,NaN
1053,31,Anterior cingulate area layer 2/3,ACA2/3,222,0,0,NaN
739,31,Anterior cingulate area layer 5,ACA5,223,0,0,NaN
179,31,Anterior cingulate area layer 6a,ACA6a,224,0,0,NaN
227,31,Anterior cingulate area layer 6b,ACA6b,225,0,0,NaN
39,31,Anterior cingulate area dorsal part,ACAd,226,3.30372,34676,10496.0468804862
935,39,Anterior cingulate area dorsal part layer 1,ACAd1,227,0.745192,923,1238.60696303771
211,39,Anterior cingulate area dorsal part layer 2/3,ACAd2/3,228,0.5684,1147,2017.94510907811
1015,39,Anterior cingulate area dorsal part layer 5,ACAd5,229,1.27716,11149,8729.5248833349
919,39,Anterior cingulate area dorsal part layer 6a,ACAd6a,230,0.71288,21449,30087.8128156211
927,39,Anterior cingulate area dorsal part layer 6b,ACAd6b,231,8.8e-05,8,90909.0909090909
48,31,Anterior cingulate area ventral part,ACAv,232,2.164488,26415,12203.8098617317
588,48,Anterior cingulate area ventral part layer 1,ACAv1,233,0.384928,1033,2683.6187546762
296,48,Anterior cingulate area ventral part layer 2/3,ACAv2/3,234,0.422232,2851,6752.21205403664
772,48,Anterior cingulate area ventral part layer 5,ACAv5,235,1.018592,11505,11295.0032986711
810,48,Anterior cingulate area ventral part 6a,ACAv6a,236,0.320256,10013,31265.612509992
819,48,Anterior cingulate area ventral part 6b,ACAv6b,237,0.01848,1013,54816.0173160173
972,315,Prelimbic area,PL,238,1.905976,10123,5311.18964771854
171,972,Prelimbic area layer 1,PL1,239,0.473808,18,37.9900719278695
195,972,Prelimbic area layer 2,PL2,240,0,0,NaN
304,972,Prelimbic area layer 2/3,PL2/3,241,0.323272,8,24.7469623103764
363,972,Prelimbic area layer 5,PL5,242,0.66164,1286,1943.65515990569
84,972,Prelimbic area layer 6a,PL6a,243,0.444848,8700,19557.242024242
132,972,Prelimbic area layer 6b,PL6b,244,0.002408,111,46096.3455149502
44,315,Infralimbic area,ILA,245,0.966584,6563,6789.89099757496
707,44,Infralimbic area layer 1,ILA1,246,0.129424,32,247.249350970454
747,44,Infralimbic area layer 2,ILA2,247,0,0,NaN
556,44,Infralimbic area layer 2/3,ILA2/3,248,0.197976,33,166.686871135895
827,44,Infralimbic area layer 5,ILA5,249,0.399352,1427,3573.28872773894
1054,44,Infralimbic area layer 6a,ILA6a,250,0.23768,4953,20838.9431167957
1081,44,Infralimbic area layer 6b,ILA6b,251,0.002152,118,54832.7137546468
714,315,Orbital area,ORB,252,5.287808,40600,7678.03974728281
264,714,Orbital area layer 1,ORB1,253,0,0,NaN
492,714,Orbital area layer 2/3,ORB2/3,254,0,0,NaN
352,714,Orbital area layer 5,ORB5,255,0,0,NaN
476,714,Orbital area layer 6a,ORB6a,256,0,0,NaN
516,714,Orbital area layer 6b,ORB6b,257,0,0,NaN
723,714,Orbital area lateral part,ORBl,258,2.422544,24672,10184.3351452027
448,723,Orbital area lateral part layer 1,ORBl1,259,0.343304,799,2327.38331041875
412,723,Orbital area lateral part layer 2/3,ORBl2/3,260,0.516272,1085,2101.60535531658
630,723,Orbital area lateral part layer 5,ORBl5,261,1.111656,11316,10179.4080183078
440,723,Orbital area lateral part layer 6a,ORBl6a,262,0.42984,10577,24606.830448539
488,723,Orbital area lateral part layer 6b,ORBl6b,263,0.021472,895,41682.1907600596
731,714,Orbital area medial part,ORBm,264,1.339208,6485,4842.41432249509
484,731,Orbital area medial part layer 1,ORBm1,265,0.436144,268,614.475952896291
524,731,Orbital area medial part layer 2,ORBm2,266,0,0,NaN
582,731,Orbital area medial part layer 2/3,ORBm2/3,267,0.304424,163,535.437416235251
620,731,Orbital area medial part layer 5,ORBm5,268,0.382776,2068,5402.63757393358
910,731,Orbital area medial part layer 6a,ORBm6a,269,0.215864,3986,18465.3300226068
20037,731,Orbital area medial part layer 6b,ORBm6b,270,0,0,NaN
738,714,Orbital area ventral part,ORBv,271,0,0,NaN
746,714,Orbital area ventrolateral part,ORBvl,272,1.526056,9443,6187.84631756633
969,746,Orbital area ventrolateral part layer 1,ORBvl1,273,0.348728,407,1167.09871303709
288,746,Orbital area ventrolateral part layer 2/3,ORBvl2/3,274,0.375776,504,1341.22455931193
1125,746,Orbital area ventrolateral part layer 5,ORBvl5,275,0.576336,4018,6971.62766164182
608,746,Orbital area ventrolateral part layer 6a,ORBvl6a,276,0.225192,4513,20040.6764005826
680,746,Orbital area ventrolateral part layer 6b,ORBvl6b,277,2.4e-05,1,41666.6666666667
95,315,Agranular insular area,AI,278,6.877416,33247,4834.22843695946
104,95,Agranular insular area dorsal part,AId,279,2.9508,17336,5875.01694455741
996,104,Agranular insular area dorsal part layer 1,AId1,280,0.41092,20,48.6712742139589
328,104,Agranular insular area dorsal part layer 2/3,AId2/3,281,0.552616,49,88.6691662926879
1101,104,Agranular insular area dorsal part layer 5,AId5,282,1.188584,3740,3146.60133402435
783,104,Agranular insular area dorsal part layer 6a,AId6a,283,0.757632,12255,16175.399138368
831,104,Agranular insular area dorsal part layer 6b,AId6b,284,0.041048,1272,30988.1114792438
111,95,Agranular insular area posterior part,AIp,285,2.560104,9111,3558.83979713324
120,111,Agranular insular area posterior part layer 1,AIp1,286,0.649024,168,258.85021201065
163,111,Agranular insular area posterior part layer 2/3,AIp2/3,287,0.795544,1118,1405.32767515059
344,111,Agranular insular area posterior part layer 5,AIp5,288,0.738288,2892,3917.17053507574
314,111,Agranular insular area posterior part layer 6a,AIp6a,289,0.368024,4595,12485.5987652979
355,111,Agranular insular area posterior part layer 6b,AIp6b,290,0.009224,338,36643.5385949696
119,95,Agranular insular area ventral part,AIv,291,1.366512,6800,4976.17291322725
704,119,Agranular insular area ventral part layer 1,AIv1,292,0.284768,62,217.721092257557
694,119,Agranular insular area ventral part layer 2/3,AIv2/3,293,0.42972,538,1251.97803220702
800,119,Agranular insular area ventral part layer 5,AIv5,294,0.519184,4057,7814.18533699035
675,119,Agranular insular area ventral part layer 6a,AIv6a,295,0.132536,2140,16146.5564073157
699,119,Agranular insular area ventral part layer 6b,AIv6b,296,0.000304,3,9868.42105263158
254,315,Retrosplenial area,RSP,297,12.186944,159184,13061.8471702176
894,254,Retrosplenial area lateral agranular part,RSPagl,298,2.434896,17202,7064.77812604727
671,894,Retrosplenial area lateral agranular part layer 1,RSPagl1,299,0.638624,488,764.142907250589
965,894,Retrosplenial area lateral agranular part layer 2/3,RSPagl2/3,300,0.494064,700,1416.82049289161
774,894,Retrosplenial area lateral agranular part layer 5,RSPagl5,301,0.751944,3582,4763.65261242859
906,894,Retrosplenial area lateral agranular part layer 6a,RSPagl6a,302,0.54336,12106,22279.8881036514
279,894,Retrosplenial area lateral agranular part layer 6b,RSPagl6b,303,0.006904,326,47219.0034762456
